User_ID,Age,Gender,Dietary_Preferences,Allergies
78,Teen,Other,Paleo,"Eggs, Nuts"
79,Adult,Other,Non-Vegetarian,Gluten
80,Adult,Other,Gluten-Free,
81,Senior,Male,Keto,"Shellfish, Gluten"
82,Child,Other,Paleo,
83,Child,Female,Keto,
84,Child,Male,Paleo,"Gluten, Shellfish, None"
85,Senior,Other,Vegan,
86,Teen,Other,Gluten-Free,Dairy
87,Teen,Other,Gluten-Free,
88,Senior,Male,Non-Vegetarian,
89,Child,Other,Non-Vegetarian,Dairy
90,Teen,Other,Dairy-Free,"Dairy, Shellfish, Nuts"
91,Child,Male,Dairy-Free,"Eggs, None"
92,Child,Female,Gluten-Free,
93,Teen,Female,Paleo,
94,Child,Other,Keto,
95,Child,Other,Keto,Eggs
96,Adult,Male,Keto,"Dairy, Shellfish, None"
97,Child,Female,Vegetarian,"Eggs, Dairy, Soy"
98,Adult,Female,Dairy-Free,"None, Dairy"
99,Child,Female,Vegetarian,"Soy, Eggs"
100,Teen,Other,Vegan,
101,Senior,Male,Dairy-Free,Dairy
102,Teen,Other,Dairy-Free,
103,Senior,Male,Non-Vegetarian,
104,Senior,Male,Keto,
105,Adult,Female,Keto,"Shellfish, Gluten"
106,Child,Female,Dairy-Free,"Eggs, None"
107,Adult,Male,Non-Vegetarian,"Gluten, Soy"
108,Adult,Other,Vegan,
109,Teen,Male,Vegetarian,"Nuts, Soy"
110,Adult,Male,Gluten-Free,Soy
111,Senior,Female,Dairy-Free,"Gluten, None"
112,Child,Male,Vegan,"Shellfish, Nuts, Eggs"
113,Senior,Male,Vegan,
114,Senior,Other,Dairy-Free,"Shellfish, Dairy"
115,Adult,Female,Dairy-Free,
116,Adult,Male,Keto,
117,Senior,Other,Gluten-Free,"Dairy, Nuts"
118,Child,Other,Non-Vegetarian,"Gluten, Nuts, Shellfish"
119,Teen,Female,Paleo,"Eggs, Shellfish, Dairy"
120,Teen,Female,Vegan,None
121,Adult,Male,Vegan,
122,Adult,Other,Keto,"Soy, Nuts"
123,Senior,Female,Vegan,
124,Teen,Male,Vegetarian,"Nuts, None"
125,Child,Other,Vegan,"None, Dairy, Nuts"
126,Adult,Other,Non-Vegetarian,"Gluten, Dairy, Eggs"
127,Teen,Male,Vegetarian,"Gluten, Shellfish, Eggs"
128,Child,Female,Non-Vegetarian,"Eggs, Shellfish, None"
129,Child,Male,Keto,
130,Child,Female,Vegan,
131,Senior,Other,Paleo,Shellfish
132,Adult,Other,Gluten-Free,"None, Soy"
133,Teen,Female,Dairy-Free,"None, Soy"
134,Child,Female,Dairy-Free,"Soy, None"
135,Child,Female,Non-Vegetarian,
136,Senior,Other,Paleo,Soy
137,Adult,Male,Keto,Eggs
138,Senior,Female,Gluten-Free,
139,Child,Female,Non-Vegetarian,"Eggs, None, Dairy"
140,Child,Other,Keto,
141,Adult,Other,Non-Vegetarian,
142,Adult,Female,Keto,None
143,Child,Male,Vegan,"Nuts, Shellfish"
144,Adult,Female,Keto,"Eggs, Shellfish, Gluten"
145,Senior,Male,Non-Vegetarian,"None, Shellfish"
146,Child,Other,Dairy-Free,
147,Teen,Male,Dairy-Free,"Nuts, Shellfish, Soy"
148,Child,Other,Paleo,Dairy
149,Senior,Female,Dairy-Free,"Shellfish, None"
150,Adult,Male,Keto,Eggs
151,Child,Female,Gluten-Free,
152,Senior,Male,Gluten-Free,"Shellfish, Dairy, Nuts"
153,Senior,Male,Vegetarian,"Shellfish, Eggs, Gluten"
154,Child,Other,Keto,Shellfish
155,Senior,Male,Vegan,Eggs
156,Senior,Male,Paleo,Soy
157,Teen,Male,Gluten-Free,Soy
158,Teen,Male,Keto,"Gluten, Dairy"
159,Child,Female,Non-Vegetarian,"Shellfish, Dairy"
160,Adult,Male,Vegan,
161,Teen,Female,Non-Vegetarian,"Shellfish, Gluten, Eggs"
162,Senior,Other,Vegan,"Eggs, Dairy"
163,Teen,Other,Paleo,"Gluten, Eggs, Nuts"
164,Adult,Male,Dairy-Free,"Soy, Dairy, None"
165,Teen,Male,Vegetarian,
166,Adult,Other,Vegetarian,"Shellfish, Gluten, Nuts"
167,Adult,Other,Keto,
168,Adult,Male,Non-Vegetarian,"Dairy, Soy, Gluten"
169,Senior,Male,Gluten-Free,
170,Child,Male,Vegetarian,"Nuts, None"
171,Child,Other,Vegan,
172,Teen,Female,Non-Vegetarian,"None, Eggs"
173,Teen,Male,Non-Vegetarian,"Dairy, Gluten"
174,Child,Female,Dairy-Free,Nuts
175,Adult,Male,Vegan,"Soy, Eggs"
176,Senior,Male,Dairy-Free,"Soy, Shellfish, Nuts"
177,Child,Female,Paleo,"Shellfish, Dairy, Eggs"
178,Teen,Male,Paleo,Soy
179,Adult,Female,Vegetarian,"Dairy, Soy, None"
180,Teen,Male,Dairy-Free,
181,Teen,Other,Gluten-Free,
182,Child,Other,Vegan,Eggs
183,Adult,Female,Non-Vegetarian,"Nuts, Dairy, None"
184,Child,Male,Vegan,"Shellfish, Gluten"
185,Child,Male,Vegan,"Soy, Eggs"
186,Child,Female,Gluten-Free,"Nuts, Eggs"
187,Senior,Other,Non-Vegetarian,"Eggs, Nuts"
188,Senior,Female,Non-Vegetarian,Shellfish
189,Child,Other,Vegan,"Eggs, Soy, None"
190,Senior,Other,Vegetarian,"Dairy, None"
191,Senior,Other,Dairy-Free,"Shellfish, Nuts"
192,Senior,Other,Vegetarian,"Soy, Nuts, Eggs"
193,Teen,Other,Dairy-Free,"Nuts, Dairy"
194,Teen,Other,Gluten-Free,"Nuts, Soy, Shellfish"
195,Teen,Female,Vegan,
196,Adult,Female,Keto,"None, Soy"
197,Child,Female,Paleo,"Soy, Gluten"
198,Senior,Female,Vegan,"None, Nuts"
199,Child,Other,Vegetarian,"Eggs, Dairy"
200,Adult,Male,Dairy-Free,"Gluten, None, Nuts"
201,Child,Other,Paleo,
202,Child,Female,Vegan,
203,Senior,Female,Keto,"Gluten, Shellfish"
204,Senior,Male,Gluten-Free,"Dairy, Shellfish, Soy"
205,Adult,Other,Gluten-Free,"Eggs, None, Dairy"
206,Child,Other,Keto,
207,Senior,Male,Vegan,Eggs
208,Adult,Male,Gluten-Free,"Shellfish, Dairy, Soy"
209,Senior,Female,Gluten-Free,Soy
210,Child,Female,Vegan,"Nuts, Dairy"
211,Child,Other,Gluten-Free,Shellfish
212,Child,Other,Paleo,
213,Senior,Female,Vegan,"Nuts, Gluten"
214,Adult,Female,Dairy-Free,Dairy
215,Teen,Other,Paleo,"Dairy, None, Shellfish"
216,Adult,Other,Vegetarian,"Nuts, None, Gluten"
217,Senior,Male,Non-Vegetarian,Gluten
218,Adult,Other,Dairy-Free,"Nuts, Dairy"
219,Senior,Female,Dairy-Free,
220,Teen,Female,Vegan,"Soy, Eggs, Shellfish"
221,Senior,Other,Vegetarian,
222,Senior,Female,Keto,
223,Teen,Other,Non-Vegetarian,"Gluten, Dairy, Shellfish"
224,Child,Female,Non-Vegetarian,"Shellfish, Nuts"
225,Adult,Female,Vegetarian,
226,Teen,Other,Dairy-Free,
227,Senior,Female,Vegetarian,
228,Teen,Other,Non-Vegetarian,"Shellfish, Eggs"
229,Adult,Other,Non-Vegetarian,
230,Child,Male,Gluten-Free,None
231,Teen,Female,Non-Vegetarian,"Shellfish, None, Soy"
232,Senior,Female,Gluten-Free,"None, Nuts, Gluten"
233,Teen,Female,Non-Vegetarian,"Gluten, Nuts, Dairy"
234,Adult,Other,Paleo,"Nuts, Gluten"
235,Child,Other,Vegan,"None, Nuts"
236,Teen,Other,Non-Vegetarian,"Eggs, Shellfish"
237,Senior,Other,Paleo,"Shellfish, Gluten"
238,Adult,Male,Dairy-Free,Gluten
239,Teen,Other,Dairy-Free,
240,Adult,Male,Dairy-Free,"None, Shellfish"
241,Adult,Female,Non-Vegetarian,"Soy, Gluten"
242,Adult,Female,Dairy-Free,"None, Nuts"
243,Child,Female,Non-Vegetarian,"Shellfish, None"
244,Senior,Male,Vegan,"Nuts, Soy"
245,Adult,Other,Vegetarian,
246,Senior,Female,Non-Vegetarian,
247,Teen,Other,Keto,None
248,Teen,Female,Vegetarian,
249,Senior,Female,Vegan,"Dairy, None"
250,Child,Female,Vegetarian,Eggs
251,Child,Other,Vegan,
252,Adult,Male,Dairy-Free,
253,Adult,Female,Keto,"Nuts, None, Gluten"
254,Teen,Male,Gluten-Free,
255,Senior,Female,Keto,"Gluten, Eggs, Nuts"
256,Senior,Female,Paleo,Eggs
257,Child,Other,Paleo,Soy
258,Teen,Female,Dairy-Free,"Shellfish, Nuts, Dairy"
259,Teen,Male,Vegetarian,Dairy
260,Teen,Male,Vegetarian,"Dairy, None, Eggs"
261,Teen,Male,Non-Vegetarian,Dairy
262,Senior,Female,Vegetarian,
263,Adult,Other,Vegetarian,Eggs
264,Child,Female,Keto,Shellfish
265,Adult,Other,Dairy-Free,
266,Child,Other,Dairy-Free,"Soy, Nuts"
267,Child,Female,Paleo,Eggs
268,Adult,Male,Non-Vegetarian,"Shellfish, Nuts, Dairy"
269,Child,Female,Gluten-Free,Dairy
270,Senior,Female,Non-Vegetarian,
271,Senior,Male,Vegan,Shellfish
272,Teen,Female,Keto,Shellfish
273,Senior,Other,Paleo,"Gluten, Nuts"
274,Adult,Male,Vegan,"Shellfish, Eggs, Soy"
275,Adult,Male,Dairy-Free,"Eggs, None, Soy"
276,Child,Other,Vegetarian,"Dairy, Shellfish, Nuts"
277,Teen,Other,Non-Vegetarian,
278,Senior,Other,Vegetarian,"Nuts, Eggs, Gluten"
279,Adult,Other,Paleo,
280,Teen,Other,Keto,
281,Teen,Other,Keto,"Shellfish, Dairy"
282,Teen,Other,Vegan,Dairy
283,Senior,Female,Keto,Dairy
284,Senior,Female,Gluten-Free,
285,Teen,Female,Non-Vegetarian,"Dairy, Eggs, Soy"
286,Adult,Other,Paleo,
287,Teen,Male,Keto,Dairy
288,Senior,Other,Gluten-Free,Shellfish
289,Child,Male,Non-Vegetarian,"Nuts, None"
290,Teen,Other,Dairy-Free,
291,Senior,Male,Gluten-Free,Nuts
292,Child,Other,Dairy-Free,"Shellfish, Gluten, Eggs"
293,Adult,Male,Non-Vegetarian,"Soy, Gluten, Eggs"
294,Teen,Other,Vegetarian,
295,Teen,Other,Gluten-Free,
296,Child,Female,Paleo,
297,Teen,Male,Dairy-Free,"Shellfish, Dairy"
298,Child,Male,Non-Vegetarian,"None, Dairy, Nuts"
299,Teen,Male,Non-Vegetarian,"None, Gluten, Soy"
300,Teen,Male,Gluten-Free,"Soy, Nuts"
301,Teen,Female,Non-Vegetarian,"Nuts, None, Gluten"
302,Teen,Female,Non-Vegetarian,Gluten
303,Teen,Female,Non-Vegetarian,"None, Nuts"
304,Adult,Male,Paleo,
305,Child,Female,Paleo,"None, Shellfish, Eggs"
306,Adult,Male,Gluten-Free,Eggs
307,Adult,Other,Dairy-Free,Gluten
308,Senior,Male,Gluten-Free,"Eggs, Dairy"
309,Teen,Other,Paleo,None
310,Adult,Other,Dairy-Free,"Eggs, None, Dairy"
311,Child,Male,Vegetarian,"Nuts, Soy"
312,Child,Male,Non-Vegetarian,"Eggs, Nuts, None"
313,Adult,Other,Paleo,"Dairy, Nuts, Soy"
314,Child,Female,Paleo,"Soy, Eggs, Gluten"
315,Senior,Other,Gluten-Free,Soy
316,Adult,Other,Dairy-Free,"None, Eggs, Gluten"
317,Senior,Female,Vegan,Nuts
318,Adult,Other,Gluten-Free,
319,Senior,Female,Keto,"Eggs, None, Soy"
320,Senior,Other,Gluten-Free,Soy
321,Child,Other,Paleo,Soy
322,Teen,Male,Gluten-Free,"Soy, Gluten, Dairy"
323,Adult,Male,Non-Vegetarian,"None, Nuts"
324,Senior,Female,Dairy-Free,"Nuts, None"
325,Adult,Other,Keto,
326,Child,Other,Non-Vegetarian,"Gluten, Nuts, Shellfish"
327,Teen,Female,Dairy-Free,"Shellfish, Gluten, Soy"
328,Senior,Female,Paleo,Nuts
329,Child,Male,Paleo,"Gluten, Eggs, None"
330,Senior,Female,Non-Vegetarian,Shellfish
331,Senior,Other,Dairy-Free,
332,Child,Other,Paleo,Nuts
333,Adult,Female,Paleo,Soy
334,Teen,Other,Keto,Dairy
335,Adult,Female,Dairy-Free,"Eggs, Dairy, Nuts"
336,Teen,Male,Dairy-Free,Eggs
337,Child,Male,Keto,"None, Eggs, Shellfish"
338,Teen,Other,Dairy-Free,
339,Adult,Female,Non-Vegetarian,"Eggs, None"
340,Adult,Female,Paleo,"Gluten, Dairy"
341,Adult,Female,Keto,"Nuts, Soy"
342,Senior,Male,Paleo,
343,Senior,Male,Vegan,"None, Eggs, Dairy"
344,Child,Other,Vegetarian,"Shellfish, None, Soy"
345,Teen,Male,Keto,"None, Gluten"
346,Senior,Male,Paleo,"Soy, Nuts"
347,Senior,Other,Dairy-Free,"Dairy, Eggs, Gluten"
348,Child,Other,Non-Vegetarian,"Soy, Dairy"
349,Child,Male,Vegetarian,"Dairy, Nuts"
350,Teen,Female,Paleo,"Gluten, Soy, Nuts"
351,Child,Male,Vegetarian,"Shellfish, None"
352,Senior,Other,Dairy-Free,"Nuts, Eggs, Gluten"
353,Child,Male,Paleo,"Shellfish, Gluten, Dairy"
354,Child,Male,Keto,"Nuts, Eggs, Dairy"
355,Teen,Female,Vegetarian,"Soy, Eggs"
356,Senior,Male,Paleo,Soy
357,Child,Other,Vegan,"Eggs, Dairy, None"
358,Senior,Male,Vegetarian,Eggs
359,Adult,Female,Vegetarian,"Shellfish, Soy, Dairy"
360,Senior,Female,Non-Vegetarian,"Eggs, Shellfish, None"
361,Senior,Other,Gluten-Free,
362,Teen,Male,Vegan,Shellfish
363,Teen,Other,Vegetarian,Shellfish
364,Senior,Other,Non-Vegetarian,"Soy, Shellfish"
365,Senior,Other,Vegetarian,Gluten
366,Teen,Female,Dairy-Free,"Gluten, Nuts"
367,Senior,Other,Vegetarian,"Dairy, Gluten"
368,Child,Male,Paleo,Shellfish
369,Adult,Male,Non-Vegetarian,"Eggs, Shellfish"
370,Senior,Female,Non-Vegetarian,"Eggs, Nuts, Dairy"
371,Adult,Female,Vegetarian,"Gluten, Soy, Eggs"
372,Senior,Other,Paleo,"Dairy, Gluten, Eggs"
373,Child,Male,Vegetarian,"None, Gluten, Dairy"
374,Teen,Female,Dairy-Free,Gluten
375,Teen,Female,Gluten-Free,"Soy, Eggs"
376,Adult,Other,Non-Vegetarian,"Eggs, Gluten"
377,Child,Other,Gluten-Free,"Gluten, Dairy, Shellfish"
378,Adult,Other,Gluten-Free,"Gluten, None, Dairy"
379,Child,Male,Paleo,None
380,Teen,Other,Dairy-Free,Soy
381,Child,Female,Non-Vegetarian,"Shellfish, Soy, Gluten"
382,Adult,Other,Dairy-Free,
383,Adult,Other,Paleo,"None, Nuts"
384,Child,Other,Vegan,
385,Adult,Male,Non-Vegetarian,"Shellfish, None"
386,Child,Female,Paleo,"None, Gluten"
387,Teen,Other,Keto,"Nuts, Shellfish"
388,Senior,Other,Dairy-Free,
389,Child,Female,Paleo,"Eggs, Shellfish, Soy"
390,Teen,Other,Keto,"Gluten, Nuts"
391,Senior,Male,Non-Vegetarian,
392,Child,Other,Vegetarian,
393,Senior,Male,Gluten-Free,"Gluten, Dairy"
394,Senior,Other,Paleo,"Gluten, Soy"
395,Senior,Female,Keto,Soy
396,Adult,Male,Vegetarian,Gluten
397,Adult,Other,Dairy-Free,"Shellfish, Dairy"
398,Teen,Other,Paleo,"Eggs, Nuts"
399,Adult,Female,Keto,None
400,Senior,Male,Gluten-Free,"Dairy, Gluten"
401,Teen,Other,Vegetarian,
402,Teen,Male,Gluten-Free,Gluten
403,Senior,Female,Paleo,"Soy, Shellfish"
404,Adult,Other,Vegetarian,Nuts
405,Senior,Male,Gluten-Free,Dairy
406,Adult,Other,Gluten-Free,"Shellfish, None, Gluten"
407,Senior,Other,Dairy-Free,Dairy
408,Adult,Female,Vegetarian,"Shellfish, None, Gluten"
409,Adult,Male,Gluten-Free,
410,Adult,Female,Vegetarian,Soy
411,Senior,Other,Keto,
412,Adult,Male,Non-Vegetarian,"Nuts, Soy, Shellfish"
413,Adult,Male,Gluten-Free,"Soy, None, Nuts"
414,Adult,Other,Vegetarian,"Gluten, Eggs, Nuts"
415,Adult,Female,Vegan,Gluten
416,Teen,Female,Keto,"Nuts, Shellfish, Dairy"
417,Senior,Other,Vegetarian,
418,Senior,Other,Paleo,
419,Adult,Female,Keto,"Gluten, Nuts"
420,Child,Female,Dairy-Free,
421,Senior,Male,Vegetarian,"Eggs, Shellfish"
422,Adult,Female,Non-Vegetarian,"Dairy, Eggs"
423,Child,Other,Gluten-Free,"None, Nuts"
424,Adult,Other,Gluten-Free,"Eggs, None, Nuts"
425,Senior,Other,Vegetarian,None
426,Teen,Female,Dairy-Free,"None, Dairy"
427,Child,Male,Paleo,None
428,Adult,Male,Vegetarian,
429,Adult,Male,Vegan,"Eggs, Soy, None"
430,Child,Female,Gluten-Free,"Soy, Nuts, Dairy"
431,Child,Male,Vegetarian,
432,Teen,Female,Dairy-Free,Shellfish
433,Senior,Other,Vegan,"Shellfish, Dairy"
434,Teen,Male,Dairy-Free,"Dairy, Gluten, Shellfish"
435,Child,Other,Paleo,
436,Adult,Other,Gluten-Free,
437,Child,Female,Non-Vegetarian,
438,Senior,Female,Gluten-Free,
439,Adult,Female,Vegetarian,
440,Child,Other,Paleo,"None, Shellfish, Eggs"
441,Adult,Male,Vegan,"Eggs, Nuts"
442,Senior,Male,Dairy-Free,
443,Senior,Female,Dairy-Free,"Eggs, None"
444,Teen,Other,Vegan,"None, Shellfish, Nuts"
445,Adult,Other,Vegetarian,"Nuts, Shellfish, Dairy"
446,Senior,Other,Paleo,
447,Child,Male,Vegan,"Soy, Shellfish"
448,Teen,Other,Paleo,"Nuts, Shellfish"
449,Adult,Male,Keto,"Eggs, None"
450,Child,Other,Non-Vegetarian,"Shellfish, Gluten, Soy"
451,Teen,Other,Vegetarian,"Gluten, Shellfish"
452,Senior,Other,Keto,
453,Teen,Female,Vegan,"Soy, None, Shellfish"
454,Teen,Male,Paleo,Nuts
455,Teen,Other,Paleo,
456,Teen,Other,Non-Vegetarian,"Shellfish, Eggs"
457,Senior,Other,Non-Vegetarian,"Nuts, Eggs, Dairy"
458,Teen,Male,Keto,Dairy
459,Teen,Other,Non-Vegetarian,"Nuts, Eggs, Gluten"
460,Child,Female,Non-Vegetarian,"Soy, None, Gluten"
461,Senior,Other,Vegetarian,
462,Senior,Other,Gluten-Free,
463,Child,Other,Keto,
464,Senior,Other,Vegetarian,
465,Senior,Male,Keto,Soy
466,Child,Female,Dairy-Free,
467,Senior,Female,Vegan,"Soy, Shellfish, Eggs"
468,Child,Female,Dairy-Free,Nuts
469,Senior,Other,Paleo,Eggs
470,Child,Other,Vegan,None
471,Adult,Other,Dairy-Free,
472,Senior,Female,Vegetarian,"Dairy, Eggs, Nuts"
473,Adult,Female,Keto,"Dairy, Soy"
474,Child,Male,Keto,"Nuts, Gluten"
475,Senior,Male,Keto,"Soy, Dairy, Eggs"
476,Adult,Other,Vegan,"Soy, Eggs, Gluten"
477,Teen,Other,Gluten-Free,Nuts
478,Child,Female,Non-Vegetarian,Dairy
479,Senior,Female,Non-Vegetarian,"Soy, None"
480,Adult,Other,Keto,"Soy, Dairy, Gluten"
481,Senior,Other,Vegan,
482,Adult,Male,Dairy-Free,Soy
483,Child,Male,Non-Vegetarian,
484,Teen,Female,Gluten-Free,"Soy, Eggs, Nuts"
485,Child,Female,Non-Vegetarian,
486,Senior,Other,Vegan,"Nuts, Eggs"
487,Teen,Female,Non-Vegetarian,"Gluten, Nuts, Shellfish"
488,Senior,Other,Gluten-Free,"Dairy, None, Eggs"
489,Child,Other,Keto,"Eggs, Gluten, None"
490,Adult,Male,Paleo,"None, Gluten"
491,Child,Other,Paleo,"Nuts, Gluten, Dairy"
492,Teen,Other,Paleo,
493,Teen,Other,Gluten-Free,"Gluten, Dairy"
494,Child,Male,Vegetarian,"Dairy, Gluten, Soy"
495,Senior,Male,Vegan,"Nuts, Shellfish, Dairy"
496,Adult,Female,Vegetarian,"Eggs, Shellfish"
497,Adult,Other,Vegan,"Soy, Shellfish, Nuts"
498,Adult,Other,Dairy-Free,"Gluten, None"
499,Senior,Other,Paleo,"Nuts, None, Gluten"
500,Child,Female,Gluten-Free,
501,Senior,Male,Paleo,"None, Gluten, Dairy"
502,Teen,Male,Vegan,None
503,Adult,Other,Non-Vegetarian,
504,Child,Female,Keto,"Gluten, Eggs, Nuts"
505,Teen,Female,Paleo,"Shellfish, Eggs, Nuts"
506,Child,Male,Non-Vegetarian,"Dairy, Soy, Eggs"
507,Senior,Other,Dairy-Free,
508,Child,Other,Non-Vegetarian,
509,Adult,Male,Vegan,"Nuts, Dairy"
510,Senior,Male,Keto,
511,Senior,Other,Paleo,Eggs
512,Child,Female,Paleo,"None, Soy"
513,Teen,Other,Vegan,
514,Senior,Female,Vegan,Dairy
515,Teen,Other,Vegetarian,"Soy, Gluten"
516,Senior,Other,Gluten-Free,Soy
517,Child,Male,Vegetarian,
518,Senior,Male,Vegetarian,
519,Child,Other,Paleo,
520,Teen,Other,Vegetarian,
521,Teen,Other,Vegetarian,
522,Teen,Female,Dairy-Free,
523,Adult,Other,Gluten-Free,"Gluten, Dairy"
524,Teen,Male,Dairy-Free,"Dairy, Gluten"
525,Senior,Male,Dairy-Free,
526,Adult,Male,Vegan,
527,Senior,Female,Non-Vegetarian,Dairy
528,Child,Female,Vegetarian,Dairy
529,Adult,Female,Vegetarian,"Nuts, Gluten"
530,Child,Female,Gluten-Free,Shellfish
531,Adult,Female,Keto,"Gluten, None"
532,Senior,Male,Vegetarian,Dairy
533,Child,Other,Vegan,Gluten
534,Adult,Male,Gluten-Free,Nuts
535,Child,Other,Gluten-Free,Nuts
536,Adult,Other,Non-Vegetarian,"Soy, Shellfish"
537,Child,Female,Paleo,"Eggs, Dairy"
538,Teen,Other,Keto,
539,Child,Female,Non-Vegetarian,"Soy, None, Dairy"
540,Adult,Other,Gluten-Free,"Eggs, Gluten"
541,Senior,Male,Paleo,"Soy, Nuts, Dairy"
542,Teen,Male,Keto,
543,Teen,Other,Dairy-Free,
544,Senior,Male,Gluten-Free,
545,Teen,Other,Non-Vegetarian,Shellfish
546,Senior,Female,Keto,
547,Child,Other,Keto,"Gluten, Dairy"
548,Senior,Male,Dairy-Free,"Dairy, Soy"
549,Senior,Other,Gluten-Free,"Dairy, None, Gluten"
550,Senior,Other,Keto,"Soy, Nuts, Eggs"
551,Adult,Other,Keto,"Nuts, Shellfish"
552,Senior,Female,Dairy-Free,"Dairy, Eggs, Soy"
553,Senior,Male,Dairy-Free,Shellfish
554,Senior,Female,Vegan,Soy
555,Teen,Male,Keto,"Soy, Nuts"
556,Teen,Other,Gluten-Free,"None, Eggs, Dairy"
557,Child,Male,Vegan,"None, Dairy"
558,Senior,Female,Dairy-Free,
559,Adult,Other,Non-Vegetarian,"None, Shellfish, Nuts"
560,Senior,Other,Vegetarian,"None, Dairy"
561,Teen,Other,Keto,"Eggs, Soy"
562,Teen,Female,Vegetarian,"Gluten, Shellfish"
563,Adult,Other,Keto,"Dairy, None, Soy"
564,Senior,Other,Paleo,
565,Child,Male,Paleo,
566,Child,Other,Vegan,
567,Adult,Other,Dairy-Free,Nuts
568,Teen,Male,Gluten-Free,Shellfish
569,Senior,Other,Dairy-Free,"None, Shellfish"
570,Adult,Female,Dairy-Free,"Nuts, Eggs"
571,Teen,Other,Keto,"Gluten, Shellfish"
572,Teen,Female,Paleo,Eggs
573,Teen,Female,Gluten-Free,
574,Child,Male,Vegetarian,None
575,Teen,Other,Keto,
576,Child,Female,Non-Vegetarian,Shellfish
577,Teen,Male,Keto,
578,Senior,Other,Vegan,Shellfish
579,Teen,Other,Dairy-Free,Soy
580,Child,Male,Vegan,"Dairy, Nuts, Gluten"
581,Child,Female,Dairy-Free,"Nuts, Shellfish"
582,Adult,Female,Vegan,"Eggs, Soy, Nuts"
583,Adult,Male,Keto,Dairy
584,Teen,Female,Paleo,Soy
