Dish_Name,Cuisine_Type,Veg_Non,Describe,Spice_Level,Sugar_Level,Dish_Category,Food_ID,Weather_Type
Baked Sirloin Steak,Unknown,Non-Vegetarian,"The recipe Baked Sirloin Steak can be made <b>in around 45 minutes</b>. One serving contains <b>578 calories</b>, <b>6g of protein</b>, and <b>24g of fat</b>. For <b>$2.22 per serving</b>, this recipe <b>covers 21%</b> of your daily requirements of vitamins and minerals. This recipe serves 1. It works well as a hor d'oeuvre. 3 people have made this recipe and would make it again. Head to the store and pick up butter, ketchup, salt, and a few other things to make it today. It can be enjoyed any time, but it is especially good for <b>valentin day</b>. It is a good option if you're following a <b>gluten free</b> diet. It is brought to you by Foodista. Overall, this recipe earns a <b>solid spoonacular score of 45%</b>. <a href=""https://spoonacular.com/recipes/baked-sirloin-steak-1333017"">Baked Sirloin Steak</a>, <a href=""https://spoonacular.com/recipes/baked-sirloin-steak-1379633"">Baked Sirloin Steak</a>, and <a href=""https://spoonacular.com/recipes/baked-sirloin-steak-1624969"">Baked Sirloin Steak</a> are very similar to this recipe.",4,2,"antipasti, starter, snack, appetizer, antipasto, hor d'oeuvre",11,Cold
Korean Beef Rice Bowl,Korean,Non-Vegetarian,"The recipe Korean Beef Rice Bowl can be made <b>in around 45 minutes</b>. For <b>$3.46 per serving</b>, this recipe <b>covers 30%</b> of your daily requirements of vitamins and minerals. One serving contains <b>669 calories</b>, <b>32g of protein</b>, and <b>25g of fat</b>. This recipe serves 4. It works well as a rather pricey main course. 2 people have made this recipe and would make it again. This recipe is typical of Korean cuisine. If you have fat-skimmed beef broth, sugar, sesame seed, and a few other ingredients on hand, you can make it. It is a good option if you're following a <b>dairy free</b> diet. It is brought to you by Foodista. Overall, this recipe earns a <b>pretty good spoonacular score of 72%</b>. Similar recipes include <a href=""https://spoonacular.com/recipes/korean-beef-rice-bowl-1371713"">Korean Beef Rice Bowl</a>, <a href=""https://spoonacular.com/recipes/korean-beef-rice-bowl-35916"">Korean Beef Rice Bowl</a>, and <a href=""https://spoonacular.com/recipes/bibimbap-korean-beef-rice-bowl-with-tanimura-antle-artisan-lettuce-1795107"">Bibimbap – Korean Beef Rice Bowl with Tanimura & Antle Artisan® Lettuce</a>.",3,4,"lunch, main course, main dish, dinner",12,Cold
Green Tea Fruit Medley Smoothie,Unknown,Vegetarian,"Green Tea Fruit Medley Smoothie is a <b>gluten free, lacto ovo vegetarian, and primal</b> recipe with 4 servings. One portion of this dish contains around <b>2g of protein</b>, <b>1g of fat</b>, and a total of <b>45 calories</b>. For <b>64 cents per serving</b>, this recipe <b>covers 4%</b> of your daily requirements of vitamins and minerals. It is brought to you by Foodista. 62 people found this recipe to be yummy and satisfying. A couple people really liked this breakfast. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. Head to the store and pick up water, pineapple juice, ice cubes, and a few other things to make it today. With a spoonacular <b>score of 40%</b>, this dish is pretty good. If you like this recipe, take a look at these similar recipes: <a href=""https://spoonacular.com/recipes/green-tea-fruit-medley-smoothie-1364147"">Green Tea Fruit Medley Smoothie</a>, <a href=""https://spoonacular.com/recipes/green-tea-fruit-medley-smoothie-1406645"">Green Tea Fruit Medley Smoothie</a>, and <a href=""https://spoonacular.com/recipes/green-tea-fruit-medley-smoothie-1406283"">Green Tea Fruit Medley Smoothie</a>.",3,2,"morning meal, brunch, beverage, breakfast, drink",13,Cold
Baked Honey Sriracha Chicken Wings,American,Non-Vegetarian,"Forget going out to eat or ordering takeout every time you crave American food. Try making Baked Honey Sriracha Chicken Wings at home. This gluten free and dairy free recipe serves 4 and costs <b>$1.91 per serving</b>. One serving contains <b>506 calories</b>, <b>30g of protein</b>, and <b>32g of fat</b>. 34 people have tried and liked this recipe. This recipe from Foodista requires brown sugar, chicken wings, sriracha, and ground ginger. It works well as a hor d'oeuvre. From preparation to the plate, this recipe takes about <b>45 minutes</b>. With a spoonacular <b>score of 57%</b>, this dish is good. <a href=""https://spoonacular.com/recipes/baked-honey-sriracha-chicken-wings-590767"">Baked Honey-Sriracha Chicken Wings</a>, <a href=""https://spoonacular.com/recipes/honey-baked-sriracha-chicken-wings-163041"">Honey-Baked Sriracha Chicken Wings</a>, and <a href=""https://spoonacular.com/recipes/baked-honey-sriracha-wings-1522195"">Baked Honey Sriracha Wings</a> are very similar to this recipe.",5,2,"antipasti, lunch, main course, starter, snack, appetizer, main dish, antipasto, hor d'oeuvre, dinner",14,Cold
Chicken and White Bean Chili,American,Non-Vegetarian,"Forget going out to eat or ordering takeout every time you crave American food. Try making Chicken and White Bean Chili at home. One serving contains <b>433 calories</b>, <b>24g of protein</b>, and <b>29g of fat</b>. This recipe serves 9 and costs $1.68 per serving. This recipe is liked by 10 foodies and cooks. Head to the store and pick up bell pepper, soured cream, 5 can cannellini beans, and a few other things to make it today. It works best as a main course, and is done in roughly <b>45 minutes</b>. It is perfect for <b>The Super Bowl</b>. It is brought to you by Foodista. All things considered, we decided this recipe <b>deserves a spoonacular score of 46%</b>. This score is pretty good. Similar recipes are <a href=""https://spoonacular.com/recipes/white-bean-chicken-chili-391572"">White Bean Chicken Chili</a>, <a href=""https://spoonacular.com/recipes/chicken-and-white-bean-chili-188890"">Chicken and White Bean Chili</a>, and <a href=""https://spoonacular.com/recipes/white-bean-and-chicken-chili-401114"">White Bean and Chicken Chili</a>.",1,2,"lunch, soup, main course, main dish, dinner",15,Rainy
Pork schnitzel with tarragon cream sauce,German,Non-Vegetarian,"The recipe Pork schnitzel with tarragon cream sauce can be made <b>in roughly 45 minutes</b>. This recipe serves 2 and costs $3.92 per serving. One serving contains <b>1070 calories</b>, <b>56g of protein</b>, and <b>78g of fat</b>. It is brought to you by Foodista. Not a lot of people really liked this European dish. This recipe is liked by 4 foodies and cooks. It works well as a main course. If you have cornstarch, breadcrumbs, vegetable stock from, and a few other ingredients on hand, you can make it. Taking all factors into account, this recipe <b>earns a spoonacular score of 53%</b>, which is good. Similar recipes are <a href=""https://spoonacular.com/recipes/pork-medallions-with-tarragon-cream-sauce-1573407"">Pork Medallions with Tarragon Cream Sauce</a>, <a href=""https://spoonacular.com/recipes/pork-schnitzel-with-sauce-389086"">Pork Schnitzel with Sauce</a>, and <a href=""https://spoonacular.com/recipes/pork-schnitzel-with-lemon-caper-cream-99629"">Pork Schnitzel With Lemon-Caper Cream</a>.",1,3,"lunch, main course, main dish, dinner",16,Hot
Crockpot Applesauce,Unknown,Vegetarian,"If you have approximately <b>45 minutes</b> to spend in the kitchen, Crockpot Applesauce might be a spectacular <b>gluten free, dairy free, paleolithic, and lacto ovo vegetarian</b> recipe to try. This recipe serves 3. For <b>$2.92 per serving</b>, this recipe <b>covers 12%</b> of your daily requirements of vitamins and minerals. One serving contains <b>412 calories</b>, <b>2g of protein</b>, and <b>1g of fat</b>. It is brought to you by fullbellysisters.blogspot.com. Plenty of people really liked this hor d'oeuvre. Head to the store and pick up orange juice, vanilla, juice of lemon, and a few other things to make it today. 1703 people have tried and liked this recipe. All things considered, we decided this recipe <b>deserves a spoonacular score of 67%</b>. This score is solid. Similar recipes are <a href=""https://spoonacular.com/recipes/crockpot-applesauce-613008"">Crockpot Applesauce</a>, <a href=""https://spoonacular.com/recipes/crockpot-applesauce-536607"">Crockpot Applesauce</a>, and <a href=""https://spoonacular.com/recipes/crockpot-applesauce-478177"">Crockpot Applesauce</a>.",4,3,"antipasti, starter, snack, appetizer, antipasto, hor d'oeuvre",17,Cold
Naturally Sweet Apple Turnovers,Unknown,Vegetarian,"Naturally Sweet Apple Turnovers is a hor d'oeuvre that serves 16. Watching your figure? This lacto ovo vegetarian recipe has <b>203 calories</b>, <b>3g of protein</b>, and <b>10g of fat</b> per serving. For <b>55 cents per serving</b>, this recipe <b>covers 4%</b> of your daily requirements of vitamins and minerals. This recipe from Foodista has 17 fans. From preparation to the plate, this recipe takes about <b>45 minutes</b>. A mixture of apples, ground allspice, milk, and a handful of other ingredients are all it takes to make this recipe so flavorful. Taking all factors into account, this recipe <b>earns a spoonacular score of 20%</b>, which is rather bad. Users who liked this recipe also liked <a href=""https://spoonacular.com/recipes/sweet-potato-turnovers-with-sweet-kraut-188944"">Sweet Potato Turnovers with Sweet Kraut</a>, <a href=""https://spoonacular.com/recipes/sweet-potato-turnovers-with-sweet-kraut-1209175"">Sweet Potato Turnovers with Sweet Kraut</a>, and <a href=""https://spoonacular.com/recipes/naturally-sweet-honey-blondies-909220"">Naturally Sweet Honey Blondies</a>.",1,5,"antipasti, starter, dessert, snack, appetizer, antipasto, hor d'oeuvre",18,Hot
Butterscotch Pie,Unknown,Non-Vegetarian,"Butterscotch Pie requires approximately <b>45 minutes</b> from start to finish. This dessert has <b>730 calories</b>, <b>7g of protein</b>, and <b>52g of fat</b> per serving. For <b>$1.39 per serving</b>, this recipe <b>covers 9%</b> of your daily requirements of vitamins and minerals. This recipe serves 8. 3 people have made this recipe and would make it again. If you have salt, sleeve of graham crackers, vanilla, and a few other ingredients on hand, you can make it. It is brought to you by Foodista. All things considered, we decided this recipe <b>deserves a spoonacular score of 16%</b>. This score is rather bad. Similar recipes include <a href=""https://spoonacular.com/recipes/butterscotch-pie-952341"">Butterscotch Pie</a>, <a href=""https://spoonacular.com/recipes/butterscotch-pie-69779"">Butterscotch Pie</a>, and <a href=""https://spoonacular.com/recipes/butterscotch-pie-69806"">Butterscotch Pie</a>.",2,1,dessert,19,Cold
Loquat Pie,Unknown,Vegetarian,"Loquat Pie requires roughly <b>45 minutes</b> from start to finish. One serving contains <b>48 calories</b>, <b>1g of protein</b>, and <b>0g of fat</b>. This recipe serves 8. For <b>68 cents per serving</b>, this recipe <b>covers 3%</b> of your daily requirements of vitamins and minerals. 2 people were glad they tried this recipe. Head to the store and pick up allspice, ginger pastry, loquats, and a few other things to make it today. It works well as an inexpensive dessert. It is brought to you by Foodista. It is a good option if you're following a <b>dairy free, lacto ovo vegetarian, and vegan</b> diet. Taking all factors into account, this recipe <b>earns a spoonacular score of 24%</b>, which is rather bad. Similar recipes are <a href=""https://spoonacular.com/recipes/loquat-chutney-100074"">Loquat Chutney</a>, <a href=""https://spoonacular.com/recipes/loquat-iced-tea-smoothie-49570"">Loquat Iced Tea Smoothie</a>, and <a href=""https://spoonacular.com/recipes/classic-cherry-pie-with-cinnamon-infused-coconut-oil-pie-crust-612047"">Classic Cherry Pie with Cinnamon Infused Coconut Oil Pie Crust</a>.",4,2,dessert,20,Cold
"Honeyed Bacon"" Baklava",Middle Eastern,Non-Vegetarian,"If you want to add more <b>middl eastern</b> recipes to your recipe box, Honeyed Bacon"" Baklava might be a recipe you should try. One serving contains <b>395 calories</b>, <b>8g of protein</b>, and <b>30g of fat</b>. This recipe serves 24 and costs $1.81 per serving. A mixture of walnuts, sugar, ground cinnamon, and a handful of other ingredients are all it takes to make this recipe so tasty. 11 person were glad they tried this recipe. From preparation to the plate, this recipe takes around <b>45 minutes</b>. It is brought to you by Foodista. With a spoonacular <b>score of 24%</b>, this dish is rather bad. Users who liked this recipe also liked <a href=""https://spoonacular.com/recipes/bacon-baklava-393723"">Bacon Baklava</a>, <a href=""https://spoonacular.com/recipes/honeyed-chicken-112370"">Honeyed Chicken</a>, and <a href=""https://spoonacular.com/recipes/honeyed-olives-238515"">Honeyed Olives</a>.",4,1,,21,Rainy
Zucchini Flutes Piped With Basil Ricotta Mousse,Unknown,Non-Vegetarian,"If you want to add more <b>gluten free and primal</b> recipes to your recipe box, Zucchini Flutes Piped With Basil Ricotta Mousse might be a recipe you should try. This recipe serves 4 and costs $1.0 per serving. One portion of this dish contains approximately <b>14g of protein</b>, <b>17g of fat</b>, and a total of <b>234 calories</b>. Not a lot of people really liked this side dish. It is brought to you by Foodista. 7 people have tried and liked this recipe. Head to the store and pick up extra virgin olive oil, parmesan cheese, garlic, and a few other things to make it today. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 56%</b>. This score is solid. If you like this recipe, take a look at these similar recipes: <a href=""https://spoonacular.com/recipes/zucchini-with-ricotta-mint-and-basil-597937"">Zucchini with Ricotta, Mint, and Basil</a>, <a href=""https://spoonacular.com/recipes/fried-zucchini-blossoms-stuffed-with-basil-ricotta-606463"">Fried Zucchini Blossoms Stuffed with Basil Ricotta</a>, and <a href=""https://spoonacular.com/recipes/grilled-zucchini-rollups-stuffed-with-lemon-basil-ricotta-and-slow-roasted-tomatoes-915698"">Grilled Zucchini Rollups Stuffed with Lemon-Basil Ricottan and Slow Roasted Tomatoes</a>.",3,1,side dish,22,Rainy
Healthy Orange Chicken,Unknown,Non-Vegetarian,"Healthy Orange Chicken is a main course that serves 2. Watching your figure? This gluten free and dairy free recipe has <b>526 calories</b>, <b>54g of protein</b>, and <b>9g of fat</b> per serving. For <b>$3.19 per serving</b>, this recipe <b>covers 30%</b> of your daily requirements of vitamins and minerals. Head to the store and pick up salt and pepper, garlic, soy sauce, and a few other things to make it today. 3 people found this recipe to be tasty and satisfying. It is brought to you by Foodista. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 68%</b>. This score is solid. Similar recipes are <a href=""https://spoonacular.com/recipes/healthy-orange-chicken-1595419"">Healthy Orange Chicken</a>, <a href=""https://spoonacular.com/recipes/healthy-orange-chicken-1071799"">Healthy Orange Chicken</a>, and <a href=""https://spoonacular.com/recipes/healthy-orange-chicken-1631237"">Healthy Orange Chicken</a>.",1,4,"lunch, main course, main dish, dinner",23,Hot
Blueberry Basil Galette,Unknown,Vegetarian,"Need a <b>dairy free, lacto ovo vegetarian, and vegan side dish</b>? Blueberry Basil Galette could be an excellent recipe to try. For <b>74 cents per serving</b>, this recipe <b>covers 3%</b> of your daily requirements of vitamins and minerals. One serving contains <b>151 calories</b>, <b>3g of protein</b>, and <b>2g of fat</b>. This recipe serves 10. 3 people have made this recipe and would make it again. If you have up to ¼ water, sugar, basil leaves, and a few other ingredients on hand, you can make it. It is brought to you by Foodista. From preparation to the plate, this recipe takes around <b>45 minutes</b>. With a spoonacular <b>score of 29%</b>, this dish is rather bad. Similar recipes include <a href=""https://spoonacular.com/recipes/the-incredible-hull-strawberry-basil-galette-with-basil-whipped-cream-542390"">The Incredible Hull: Strawberry Basil Galette with Basil Whipped Cream</a>, <a href=""https://spoonacular.com/recipes/strawberry-basil-galette-604731"">Strawberry Basil Galette</a>, and <a href=""https://spoonacular.com/recipes/blueberry-galette-51743"">Blueberry Galette</a>.",1,3,side dish,24,Rainy
South Carolina Style Pulled Pork,American,Non-Vegetarian,"The recipe South Carolina Style Pulled Pork is ready <b>in roughly 45 minutes</b> and is definitely an amazing <b>gluten free and dairy free</b> option for lovers of American food. One serving contains <b>692 calories</b>, <b>48g of protein</b>, and <b>21g of fat</b>. This recipe serves 10. For <b>$3.19 per serving</b>, this recipe <b>covers 36%</b> of your daily requirements of vitamins and minerals. 3 people were glad they tried this recipe. Not a lot of people really liked this main course. If you have apple cider vinegar, ground cumin, garlic, and a few other ingredients on hand, you can make it. It is brought to you by Foodista. With a spoonacular <b>score of 81%</b>, this dish is awesome. If you like this recipe, you might also like recipes such as <a href=""https://spoonacular.com/recipes/north-carolina-style-pulled-pork-458007"">North Carolina-Style Pulled Pork</a>, <a href=""https://spoonacular.com/recipes/carolina-style-pulled-pork-sliders-1344539"">Carolina Style Pulled Pork Sliders</a>, and <a href=""https://spoonacular.com/recipes/carolina-style-pulled-pork-sandwiches-714634"">Carolina-Style Pulled Pork Sandwiches</a>.",2,5,"lunch, main course, main dish, dinner",25,Hot
