User_ID,Weather_Type,Spice_Preference,Sugar_Preference,Meal_Type,Recent_Dislikes
14,Cold,7,10,Dinner,"Steamed Artichokes With Roasted Red Pepper Aioli, Moosewood Lentil Soup, Ground Turkey Stuffed Peppers, Tomato and Bacon Pizza With Rice Crust, How to Make the Ultimate Christmas Fruit Pizza"
14,Hot,5,4,Breakfast,"Green Tea Fruit Medley Smoothie, Jalapeno Cheese Quick Bread, Avocado and Orange Salad With Orange-Ginger Dressing, Healthy Vegan Red Velvet Brownies"
14,Rainy,8,5,Breakfast,"Beef With Oranges and Spices, Pasta with Raw Tomato & Lemon Infused Olive Oil, Easy Pork Chops on Stuffing, My Asian Fried Fish Fillet, Alouette Chicken Paprika"
14,Humid,4,2,Lunch,"Healthy Vegan Red Velvet Brownies, Vanilla and Lime Flan By Esperanza Platas Alvarez (Planet Food Mexico), Homemade Muesli Breakfast Cereal"
14,Windy,6,6,Breakfast,"Crockpot Chicken and Dumplings, Cheese Pork Chops, Healthy Orange Chicken"
15,Cold,6,0,Breakfast,"Oven-Baked Feta Cheese Dip, Chicken and White Bean Chili, Shrimp and Lemongrass Soup, White Chocolate Raspberry Brie Cups"
15,Hot,2,2,Breakfast,"Lamb In Red Mole Sauce, Beef With Oranges and Spices, Minestrone Soup"
15,Rainy,6,8,Breakfast,"Italian Beef Braciole, Korean Beef Rice Bowl, Pork schnitzel with tarragon cream sauce, Fried String Cheese Sticks"
15,Humid,5,9,Breakfast,Italian Beef Braciole
15,Windy,6,10,Dinner,"Black Bean Garlic Shrimp Scramble, My Asian Fried Fish Fillet, Frittata with Mushrooms, Thyme, and Parmigiano Cheese, Artisan Farfalle Pasta With Smoked Salmon and Cream Sauce"
16,Cold,10,5,Dinner,
16,Hot,2,0,Dinner,"Vanilla Bean Melting Moment Cookies With Caramel Filling, Easy Gluten Free Vegetarian Pasta Salad, How to Make the Best Crock Pot Roast, Ground Turkey Stuffed Peppers"
16,Rainy,5,1,Breakfast,"Sugar Cookies, Shrimp & Crab Egg Rolls, Tuna Stuffed Hard-Boiled Eggs, Baked Ziti Or Rigatoni, How to Make the Best Crock Pot Roast"
16,Humid,7,5,Lunch,Cheese Pork Chops
16,Windy,9,0,Dinner,South Carolina Style Pulled Pork
17,Cold,9,1,Breakfast,"Salmon with roasted vegetables, The Pearhattan Cocktail, Lamb In Red Mole Sauce, Chocolatey Overnight Oats with Strawberries, Easy Pork Chops on Stuffing"
17,Hot,2,5,Lunch,"How to Make the Best Crock Pot Roast, Dairy Free Chicken Salad, Chimichurri"
17,Rainy,7,5,Lunch,
17,Humid,5,1,Dinner,
17,Windy,5,5,Breakfast,Moosewood Lentil Soup
18,Cold,6,6,Breakfast,Mediterranean Herb Dip
18,Hot,1,3,Dinner,Amaretto Almond Cookies
18,Rainy,2,10,Breakfast,
18,Humid,7,10,Lunch,"Amaretto Almond Cookies, Butterscotch Pie"
18,Windy,10,3,Breakfast,"Dak Bulgogi - Korean BBQ Chicken, Oven-Baked Feta Cheese Dip, Chocolate Mousse in Chocolate Shell, Beef With Oranges and Spices, Spicy Coconut French Toast"
19,Cold,4,7,Dinner,Easy Vegetable Fried Rice
19,Hot,7,7,Dinner,"Pasta With Salmon Cream Sauce, Spare Ribs"
19,Rainy,5,9,Breakfast,"Upside-Down Blueberry Puffs Brunch, Green Tea Fruit Medley Smoothie"
19,Humid,6,1,Lunch,"Spicy Coconut French Toast, Delicious Rhubarb Custard Pie"
19,Windy,2,8,Dinner,"Watermelon Popsicles with Mint, Basil & Lime, Avocado and Orange Salad With Orange-Ginger Dressing, Mediterranean Herb Dip, Healthy Vegan Red Velvet Brownies, Easy Gluten Free Vegetarian Pasta Salad"
20,Cold,2,9,Dinner,"Wholemeal Steam Bun, Pork schnitzel with tarragon cream sauce, Pork schnitzel with tarragon cream sauce, Amaretto Almond Cookies"
20,Hot,0,8,Dinner,"Salmon with roasted vegetables, One Bowl Jalapeno Cheddar Cornbread, Baked Honey Sriracha Chicken Wings"
20,Rainy,3,2,Dinner,Chocolatey Overnight Oats with Strawberries
20,Humid,0,10,Lunch,"Tomato and lentil soup, Chocoholic's Deep Dark Dream Chiffon Cake, Mediterranean Herb Dip, Beef With Oranges and Spices"
20,Windy,8,0,Dinner,"Dad’s Breakfast Polenta, White Chocolate Raspberry Brie Cups, Creamy Mushroom Soup ~ with a “Kick”"
21,Cold,2,0,Breakfast,"Ground Turkey Stuffed Peppers, Roasted Acorn Squash Stuffed with spicy Biryani (Veg/vegan), Cuban Flank Steak With Avocado and Tomato Salad"
21,Hot,4,10,Dinner,"Green Tea Fruit Medley Smoothie, Royal Wedding Pear and Coriander Scones, Shrimp and Lemongrass Soup, Oven-Baked Feta Cheese Dip"
21,Rainy,3,4,Breakfast,
21,Humid,9,4,Lunch,
21,Windy,9,4,Lunch,
22,Cold,0,10,Dinner,"Naturally Sweet Apple Turnovers, Shrimp and Lemongrass Soup"
22,Hot,9,6,Dinner,"Fluffy frittata with spinach, HomeMade Hashbrowns with Spinach and Carrots"
22,Rainy,3,3,Lunch,"The Pearhattan Cocktail, Fried String Cheese Sticks, Zucchini Flutes Piped With Basil Ricotta Mousse, Dairy Free Chicken Salad, Vanilla and Lime Flan By Esperanza Platas Alvarez (Planet Food Mexico)"
22,Humid,1,1,Breakfast,
22,Windy,9,8,Dinner,"Roasted Asparagus With Bacon and Feta Cheese, Royal Wedding Pear and Coriander Scones"
23,Cold,4,7,Breakfast,"Spicy Coconut French Toast, Cheesy Chicken and Rice Casserole"
23,Hot,1,7,Dinner,"Eggless Blueberry and White Chocolate Baked Cheesecake, Chocolate Mousse in Chocolate Shell, Chocolatey Overnight Oats with Strawberries, Baked Ziti Or Rigatoni, Green Tea Fruit Medley Smoothie"
23,Rainy,8,6,Dinner,"Italian Beef Braciole, Brussels Sprout Carbonara with Fettuccini, Tortellini In Brodo, Loquat Pie"
23,Humid,0,7,Breakfast,"The Pearhattan Cocktail, Strawberry-Mango Quinoa Salad"
23,Windy,4,1,Breakfast,"Wholemeal Steam Bun, Roasted Asparagus With Bacon and Feta Cheese, Chapchae (Korean Stir-Fried Noodles), Fried String Cheese Sticks, Upside-Down Blueberry Puffs Brunch"
24,Cold,8,4,Dinner,"Zucchini Flutes Piped With Basil Ricotta Mousse, Shrimp & Crab Egg Rolls"
24,Hot,3,8,Dinner,
24,Rainy,6,9,Dinner,"Blueberry Basil Galette, Roasted Acorn Squash Stuffed with spicy Biryani (Veg/vegan)"
24,Humid,8,3,Dinner,"Naturally Sweet Apple Turnovers, Healthy Mint Brownies"
24,Windy,5,5,Dinner,Tortellini In Brodo
25,Cold,0,1,Lunch,"Sugar Cookies, Oven-Baked Feta Cheese Dip, Roasted Acorn Squash Stuffed with spicy Biryani (Veg/vegan), My Asian Fried Fish Fillet"
25,Hot,2,9,Dinner,"Cajun Potato Wedges, Red, White & Blue Crepes: Happy July 4th! @driscollsberry, Almond Rainbow Cake"
25,Rainy,2,6,Breakfast,
25,Humid,8,5,Lunch,
25,Windy,9,10,Dinner,"Quick Chicken Enchilada Soup, Steamed Artichokes With Roasted Red Pepper Aioli, Healthy Mint Brownies, Beef With Oranges and Spices"
26,Cold,10,0,Breakfast,"Upside-Down Blueberry Puffs Brunch, Dairy Free Chicken Salad"
26,Hot,9,5,Lunch,"Mediterranean Herb Dip, Red, White & Blue Crepes: Happy July 4th! @driscollsberry, Oven-Baked Feta Cheese Dip"
26,Rainy,6,6,Dinner,Authentic Italian Biscotti
26,Humid,8,3,Lunch,"Ground Turkey Stuffed Peppers, Healthy Vegan Red Velvet Brownies, Cajun Seafood and Andouille Sausage Gumbo, Healthy Mint Brownies, Naturally Sweet Apple Turnovers"
26,Windy,2,10,Dinner,"Cajun Seafood and Andouille Sausage Gumbo, Baked Honey Sriracha Chicken Wings"
27,Cold,6,5,Dinner,
27,Hot,8,3,Breakfast,"Chimichurri, Baked Sirloin Steak"
27,Rainy,9,6,Dinner,
27,Humid,8,8,Breakfast,"Butterscotch Pie, Raspberry Cheesecake Bars By Mommie Cooks, Quick Chicken Enchilada Soup, Vanilla Bean Melting Moment Cookies With Caramel Filling, Cajun Seafood and Andouille Sausage Gumbo"
27,Windy,8,7,Dinner,"Artisan Farfalle Pasta With Smoked Salmon and Cream Sauce, White Chocolate Cherry Hand Pies, Minestrone, Chocoholic's Deep Dark Dream Chiffon Cake"
28,Cold,2,3,Breakfast,Ground Turkey Stuffed Peppers
28,Hot,10,10,Lunch,"Beef With Oranges and Spices, Tortellini In Brodo, Dad’s Breakfast Polenta, Avocado Chicken Salad, Butterscotch Pie"
28,Rainy,3,9,Breakfast,
28,Humid,3,8,Breakfast,"One Bowl Jalapeno Cheddar Cornbread, How to Make the Best Crock Pot Roast, South Carolina Style Pulled Pork"
28,Windy,5,0,Breakfast,"Pasta With Salmon Cream Sauce, Authentic Italian Biscotti"
29,Cold,7,7,Breakfast,"Chicken and White Bean Chili, Smooth Bloody Mary, Easy Gluten Free Vegetarian Pasta Salad, Carrot and Coriander Soup"
29,Hot,1,9,Breakfast,
29,Rainy,4,4,Breakfast,Chicken and White Bean Chili
29,Humid,5,5,Breakfast,"Quick Chicken Enchilada Soup, Chimichurri, Yoghurt Honey Madeleines, Shrimp and Lemongrass Soup, Naturally Sweet Apple Turnovers"
29,Windy,9,10,Dinner,"Tru Chocolate Martini, Spicy Coconut French Toast, Cuban Flank Steak With Avocado and Tomato Salad, Warm Lemon Poppy Seed Cake With Chocolate Ganache Center"
30,Cold,0,0,Lunch,"Soy Ginger Glazed Halibut with Ginger Peach Relish, Almond Rainbow Cake, Strawberry-Mango Quinoa Salad"
30,Hot,9,5,Breakfast,"Fried String Cheese Sticks, Fluffy frittata with spinach"
30,Rainy,7,2,Dinner,"Strawberry-Mango Quinoa Salad, Baked Sirloin Steak, Classic Buttermilk Pie, Cajun Shrimp Chowder, Cajun Seafood and Andouille Sausage Gumbo"
30,Humid,7,9,Breakfast,"Avocado Chicken Salad, Beef With Oranges and Spices, Soy Ginger Glazed Halibut with Ginger Peach Relish"
30,Windy,3,8,Lunch,"Sweet & Spicy White Cheddar Cheese Ball with apples & Bacon, Moosewood Lentil Soup"
31,Cold,10,2,Breakfast,"Honeyed Bacon"" Baklava, Delicious Sausage & Peppers, Gluten Free Dairy Free Buttermilk Biscuits, Satay Beef Balls"
31,Hot,3,6,Dinner,"Mediterranean Herb Dip, Avocado Chicken Salad, Royal Wedding Pear and Coriander Scones"
31,Rainy,0,6,Lunch,"Avocado and Orange Salad With Orange-Ginger Dressing, Authentic Italian Biscotti"
31,Humid,3,5,Lunch,Classic Buttermilk Pie
31,Windy,3,3,Lunch,Minestrone
32,Cold,10,3,Dinner,"Shrimp & Crab Egg Rolls, Chocolate Mousse in Chocolate Shell, Sweet Potato, Kale & White Bean Soup"
32,Hot,4,1,Breakfast,"Wholemeal Steam Bun, Soy Ginger Glazed Halibut with Ginger Peach Relish, Easy Vegetable Fried Rice, Delicious Sausage & Peppers, Sugar Cookies"
32,Rainy,8,4,Dinner,"Oven-Baked Feta Cheese Dip, Moosewood Lentil Soup, Crockpot Chicken and Dumplings"
32,Humid,10,0,Breakfast,"Braised Chicken with Artichoke Hearts & Olives, Alouette Chicken Paprika"
32,Windy,5,8,Breakfast,"Cheese Pork Chops, Cheesy Chicken and Rice Casserole, Healthy Mint Brownies, Pork schnitzel with tarragon cream sauce"
33,Cold,4,3,Lunch,The Pearhattan Cocktail
33,Hot,5,5,Dinner,"Chicken Farfalle with Low-Fat Alfredo Sauce, Delicious Rhubarb Custard Pie, Roasted Beet and Radicchio Salad, South Carolina Style Pulled Pork"
33,Rainy,0,6,Dinner,
33,Humid,8,2,Lunch,"Nutella Buttercream Cupcakes with Hidden Cadbury Egg, How to Make the Ultimate Christmas Fruit Pizza, Spring Greens With Pears, Sugared Walnuts & Gorgonzola, Amaretto Almond Cookies, Naturally Sweet Apple Turnovers"
33,Windy,4,5,Breakfast,"Lamb In Red Mole Sauce, Tuna Stuffed Hard-Boiled Eggs, Baked Sirloin Steak, Eggless Blueberry and White Chocolate Baked Cheesecake"
34,Cold,5,9,Lunch,"Spring Greens With Pears, Sugared Walnuts & Gorgonzola, Strawberry-Mango Quinoa Salad"
34,Hot,5,5,Dinner,
34,Rainy,8,0,Lunch,"Pasta with Raw Tomato & Lemon Infused Olive Oil, Almond Rainbow Cake, Chocolate Mousse in Chocolate Shell"
34,Humid,1,2,Dinner,
34,Windy,7,8,Breakfast,"Cheesy Chicken Enchilada Quinoa Casserole, Easy Pork Chops on Stuffing, Cajun Shrimp Chowder"
35,Cold,10,8,Lunch,
35,Hot,3,2,Lunch,"Delicious Sausage & Peppers, Quick Chicken Enchilada Soup, Healthy Mint Brownies, My Asian Fried Fish Fillet, Carrot and Coriander Soup"
35,Rainy,10,1,Dinner,Moosewood Lentil Soup
35,Humid,2,5,Dinner,"Moosewood Lentil Soup, Easy Gluten Free Vegetarian Pasta Salad, Homemade Muesli Breakfast Cereal, Roasted Acorn Squash Stuffed with spicy Biryani (Veg/vegan)"
35,Windy,2,3,Dinner,Quick Chicken Enchilada Soup
36,Cold,5,10,Dinner,"Naturally Sweet Apple Turnovers, Minestrone, Frittata with Mushrooms, Thyme, and Parmigiano Cheese"
36,Hot,1,8,Dinner,"Vanilla Bean Melting Moment Cookies With Caramel Filling, Cheese Pork Chops, Sweet & Spicy White Cheddar Cheese Ball with apples & Bacon, Fluffy frittata with spinach, Quick Chicken Enchilada Soup"
36,Rainy,5,10,Dinner,"Dak Bulgogi - Korean BBQ Chicken, Spare Ribs, Cheesy Chicken Enchilada Quinoa Casserole"
36,Humid,3,3,Dinner,"Tomato and lentil soup, Chicken Farfalle with Low-Fat Alfredo Sauce"
36,Windy,9,6,Breakfast,"Shrimp & Crab Egg Rolls, Soy Ginger Glazed Halibut with Ginger Peach Relish, Beef With Oranges and Spices, Dak Bulgogi - Korean BBQ Chicken, Homemade Muesli Breakfast Cereal"
37,Cold,9,10,Lunch,"Chocolate Mousse in Chocolate Shell, Avocado and Orange Salad With Orange-Ginger Dressing, Fried String Cheese Sticks, Crockpot Applesauce"
37,Hot,5,9,Lunch,
37,Rainy,8,1,Breakfast,"Dad’s Breakfast Polenta, Brussels Sprout Carbonara with Fettuccini, Coconut Cream Pie Vegan Milkshake, Honeyed Bacon"" Baklava, Avocado and Orange Salad With Orange-Ginger Dressing"
37,Humid,9,0,Dinner,"Watermelon Popsicles with Mint, Basil & Lime"
37,Windy,0,9,Lunch,Blueberry Basil Galette
38,Cold,10,0,Breakfast,"Tru Chocolate Martini, Creamy Mushroom Soup ~ with a “Kick”, Easy Pork Chops on Stuffing, A Refreshing Drink To Welcome You All"
38,Hot,0,5,Dinner,"Watermelon Popsicles with Mint, Basil & Lime"
38,Rainy,2,3,Dinner,"Alouette Chicken Paprika, Royal Wedding Pear and Coriander Scones, How to Make the Ultimate Christmas Fruit Pizza, Authentic Italian Biscotti"
38,Humid,6,9,Lunch,
38,Windy,1,6,Breakfast,Italian Beef Braciole
39,Cold,5,7,Lunch,
39,Hot,10,7,Dinner,"Baked Ziti Or Rigatoni, Cajun Shrimp Chowder, Smooth Bloody Mary, Chapchae (Korean Stir-Fried Noodles), Coconut Cream Pie Vegan Milkshake"
39,Rainy,9,9,Lunch,
39,Humid,9,6,Dinner,"A Refreshing Drink To Welcome You All, Classic Buttermilk Pie, Zucchini Flutes Piped With Basil Ricotta Mousse, Authentic Italian Biscotti, Minestrone"
39,Windy,2,6,Lunch,
40,Cold,5,3,Lunch,"Roasted Beet and Radicchio Salad, Cheese Pork Chops"
40,Hot,9,0,Breakfast,"Spicy Coconut French Toast, Amaretto Almond Cookies, Healthy Orange Chicken"
40,Rainy,4,0,Breakfast,
40,Humid,2,10,Lunch,
40,Windy,8,0,Lunch,"Roasted Beet and Radicchio Salad, Authentic Italian Biscotti, Nutella Buttercream Cupcakes with Hidden Cadbury Egg"
41,Cold,5,2,Breakfast,"Mediterranean Herb Dip, HomeMade Hashbrowns with Spinach and Carrots"
41,Hot,8,8,Lunch,"Zucchini Flutes Piped With Basil Ricotta Mousse, Spare Ribs"
41,Rainy,6,9,Lunch,Fried String Cheese Sticks
41,Humid,4,6,Breakfast,
41,Windy,6,1,Lunch,
42,Cold,5,3,Breakfast,
42,Hot,1,10,Breakfast,Pasta With Salmon Cream Sauce
42,Rainy,10,3,Dinner,
42,Humid,8,5,Lunch,Salmon with roasted vegetables
42,Windy,7,8,Lunch,"Avocado Chicken Salad, The Pearhattan Cocktail, Fluffy frittata with spinach, Tomato and lentil soup, Baked Honey Sriracha Chicken Wings"
43,Cold,8,10,Breakfast,Mediterranean Herb Dip
43,Hot,3,5,Breakfast,Easy Pork Chops on Stuffing
43,Rainy,5,10,Breakfast,"South Carolina Style Pulled Pork, Cheesy Chicken and Rice Casserole"
43,Humid,3,8,Lunch,"Cheesy Chicken and Rice Casserole, Coconut Cream Pie Vegan Milkshake, Spicy Coconut French Toast"
43,Windy,2,1,Breakfast,"Easy Pork Chops on Stuffing, Tomato and Eggplant Caponata, Frittata with Mushrooms, Thyme, and Parmigiano Cheese, Upside-Down Blueberry Puffs Brunch"
44,Cold,9,10,Dinner,"Brussels Sprout Carbonara with Fettuccini, Avocado Chicken Salad, Pasta with Raw Tomato & Lemon Infused Olive Oil"
44,Hot,4,4,Lunch,Vanilla Bean Melting Moment Cookies With Caramel Filling
44,Rainy,8,3,Breakfast,
44,Humid,10,4,Lunch,Crockpot Applesauce
44,Windy,7,4,Lunch,"Coconut Cream Pie Vegan Milkshake, Authentic Italian Biscotti, Fluffy frittata with spinach, Dad’s Breakfast Polenta"
45,Cold,3,3,Breakfast,"Shrimp and Lemongrass Soup, Fluffy frittata with spinach, Baked Honey Sriracha Chicken Wings, Italian Beef Braciole, Tomato and Bacon Pizza With Rice Crust"
45,Hot,3,6,Dinner,Nutella Buttercream Cupcakes with Hidden Cadbury Egg
45,Rainy,2,7,Dinner,
45,Humid,4,9,Dinner,"Healthy Mint Brownies, Creamy Mushroom Soup ~ with a “Kick”, Dairy Free Chicken Salad, Warm Lemon Poppy Seed Cake With Chocolate Ganache Center, Smooth Bloody Mary"
45,Windy,9,8,Dinner,"Easy Pork Chops on Stuffing, Salmon with roasted vegetables, Sweet Potato, Kale & White Bean Soup, Sugar Cookies"
46,Cold,7,0,Dinner,Dairy Free Chicken Salad
46,Hot,5,3,Breakfast,
46,Rainy,5,10,Lunch,Sugar Cookies
46,Humid,9,3,Breakfast,"Roasted Asparagus With Bacon and Feta Cheese, Cuban Flank Steak With Avocado and Tomato Salad, Beef With Oranges and Spices"
46,Windy,1,9,Lunch,"Warm Lemon Poppy Seed Cake With Chocolate Ganache Center, A Refreshing Drink To Welcome You All"
47,Cold,2,5,Breakfast,"The Pearhattan Cocktail, Dairy Free Chicken Salad, Wholemeal Steam Bun, Chocolate Mousse in Chocolate Shell, Red, White & Blue Crepes: Happy July 4th! @driscollsberry"
47,Hot,2,2,Dinner,"White Chocolate Cherry Hand Pies, Moosewood Lentil Soup, Watermelon Popsicles with Mint, Basil & Lime, Cajun Seafood and Andouille Sausage Gumbo, Shrimp & Crab Egg Rolls"
